Date,Type,Ticker,Shares,Price,Amount
2022-10-27,SELL,009830.KS,41,55725.0546875,2284727.2421875
2022-10-27,BUY,028260.KS,18,111864.4921875,2013560.859375
2022-10-27,BUY,006400.KS,2,721375.75,1442751.5
2022-10-27,BUY,009830.KS,37,55725.0546875,2061827.0234375
2022-10-27,BUY,096770.KS,13,158145.4375,2055890.6875
2022-10-27,BUY,207940.KS,1,1342268.875,1342268.875
2022-10-27,BUY,086790.KS,63,32828.56640625,2068199.68359375
2022-10-27,BUY,051910.KS,3,583080.0,1749240.0
2022-10-27,BUY,373220.KS,3,540000.0,1620000.0
2022-11-25,SELL,028260.KS,18,112334.5078125,2022021.140625
2022-11-25,SELL,006400.KS,2,719391.1875,1438782.375
2022-11-25,SELL,009830.KS,37,57772.97265625,2137599.98828125
2022-11-25,SELL,096770.KS,13,163261.90625,2122404.78125
2022-11-25,SELL,207940.KS,1,1388395.0,1388395.0
2022-11-25,SELL,086790.KS,63,34585.80859375,2178905.94140625
2022-11-25,SELL,051910.KS,3,701837.5,2105512.5
2022-11-25,SELL,373220.KS,3,571000.0,1713000.0
2022-11-25,BUY,096770.KS,13,163261.90625,2122404.78125
2022-11-25,BUY,015760.KS,109,19939.609375,2173417.421875
2022-11-25,BUY,005490.KS,8,271066.84375,2168534.75
2022-11-25,BUY,086790.KS,63,34585.80859375,2178905.94140625
2022-11-25,BUY,034020.KS,129,16950.0,2186550.0
2022-11-25,BUY,003550.KS,29,74525.8046875,2161248.3359375
2022-11-25,BUY,105560.KS,50,43399.5546875,2169977.734375
2022-11-25,BUY,051910.KS,3,701837.5,2105512.5
2022-12-26,SELL,096770.KS,13,149773.03125,1947049.40625
2022-12-26,SELL,015760.KS,109,21473.42578125,2340603.41015625
2022-12-26,SELL,005490.KS,8,267856.28125,2142850.25
2022-12-26,SELL,086790.KS,63,35624.1796875,2244323.3203125
2022-12-26,SELL,034020.KS,129,14800.0,1909200.0
2022-12-26,SELL,003550.KS,29,71369.421875,2069713.234375
2022-12-26,SELL,105560.KS,50,43916.2109375,2195810.546875
2022-12-26,SELL,051910.KS,3,601575.0,1804725.0
2022-12-26,BUY,068270.KS,13,153181.84375,1991363.96875
2022-12-26,BUY,030200.KS,71,29568.583984375,2099369.462890625
2022-12-26,BUY,015760.KS,98,21473.42578125,2104395.7265625
2022-12-26,BUY,028260.KS,18,112334.5078125,2022021.140625
2022-12-26,BUY,012330.KS,10,197359.734375,1973597.34375
2022-12-26,BUY,207940.KS,1,1263854.5,1263854.5
2022-12-26,BUY,005490.KS,7,267856.28125,1874993.96875
2022-12-26,BUY,017670.KS,51,40938.68359375,2087872.86328125
2023-01-27,SELL,068270.KS,13,151837.078125,1973882.015625
2023-01-27,SELL,030200.KS,71,30822.140625,2188371.984375
2023-01-27,SELL,015760.KS,98,20038.56640625,1963779.5078125
2023-01-27,SELL,028260.KS,18,115689.203125,2082405.65625
2023-01-27,SELL,012330.KS,10,204998.53125,2049985.3125
2023-01-27,SELL,207940.KS,1,1243866.625,1243866.625
2023-01-27,SELL,005490.KS,7,287714.5625,2014001.9375
2023-01-27,SELL,017670.KS,51,40456.05078125,2063258.58984375
2023-01-27,BUY,086790.KS,47,44943.484375,2112343.765625
2023-01-27,BUY,055550.KS,54,39259.34375,2120004.5625
2023-01-27,BUY,035720.KS,33,64533.0703125,2129591.3203125
2023-01-27,BUY,000660.KS,23,89171.5703125,2050946.1171875
2023-01-27,BUY,035420.KS,10,209225.171875,2092251.71875
2023-01-27,BUY,105560.KS,41,51125.03515625,2096126.44140625
2023-01-27,BUY,000270.KS,34,61729.71484375,2098810.3046875
2023-01-27,BUY,005380.KS,14,151459.171875,2120428.40625
2023-02-27,SELL,086790.KS,47,38510.89453125,1810012.04296875
2023-02-27,SELL,055550.KS,54,33845.78515625,1827672.3984375
2023-02-27,SELL,035720.KS,33,61740.2890625,2037429.5390625
2023-02-27,SELL,000660.KS,23,87709.7265625,2017323.7109375
2023-02-27,SELL,035420.KS,10,205762.8125,2057628.125
2023-02-27,SELL,105560.KS,41,44834.08984375,1838197.68359375
2023-02-27,SELL,000270.KS,34,67893.75,2308387.5
2023-02-27,SELL,005380.KS,14,150936.609375,2113112.53125
2023-02-27,BUY,055550.KS,59,33845.78515625,1996901.32421875
2023-02-27,BUY,030200.KS,78,26003.466796875,2028270.41015625
2023-02-27,BUY,105560.KS,45,44834.08984375,2017534.04296875
2023-02-27,BUY,012330.KS,9,204520.703125,1840686.328125
2023-02-27,BUY,000270.KS,29,67893.75,1968918.75
2023-02-27,BUY,086790.KS,52,38510.89453125,2002566.515625
2023-02-27,BUY,015760.KS,112,17970.388671875,2012683.53125
2023-02-27,BUY,207940.KS,1,1183902.625,1183902.625
2023-03-29,SELL,055550.KS,59,31865.205078125,1880047.099609375
2023-03-29,SELL,030200.KS,78,25352.294921875,1977479.00390625
2023-03-29,SELL,105560.KS,45,42574.66796875,1915860.05859375
